# ALPHA = 0.5
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Astrocytes (set)
# _SET1_  NGENES = 288
# _SET1_  P-VALUE = 0.0203568
_SET1_   GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   GPM6A          4  176544088  176958842   2350     168  245114     -0.67589       0.8398    5.6534e-05     -0.67595
_SET1_   ADCY2          5    7361343    7840194   2310     190  249158        0.933      0.27763    5.6534e-05      0.93294
_SET1_   CTNND2         5   10961952   11939155   5012     363  233411       1.3786      0.20501    5.6534e-05       1.3785
_SET1_   RANBP3L        5   36237950   36337011    435      65  222703      -1.7009      0.96818    5.6534e-05      -1.7009
_SET1_   SLC1A3         5   36571457   36698436    671     124  232346     -0.75257      0.84528    5.6534e-05     -0.75263
_SET1_   LIFR           5   38465065   38630507    653      74  166870     -0.49086      0.75767    5.6534e-05     -0.49092
_SET1_   RHOBTB3        5   95014181   95142071    570      91  244738      0.54188      0.35145    5.6534e-05      0.54182
_SET1_   APC            5  112008202  112191936    999      60  231294      0.32561       0.3976    5.6534e-05      0.32555
_SET1_   MCC            5  112347796  112859527   3110     116  297126       1.0935      0.16739    5.6534e-05       1.0935
_SET1_   GRAMD2B        5  125660788  125839853    885     134  258997     -0.55506      0.78921    5.6534e-05     -0.55512
_SET1_   ALDH7A1        5  125867533  125966104    479      69  260206     -0.19416      0.62618    5.6534e-05     -0.19421
_SET1_   MARCHF3        5  126193406  126401500    924      37  251057      -1.2697      0.90464    5.6534e-05      -1.2698
_SET1_   PSD2           5  139140406  139234051    356      74  189979       2.8726    0.0044072    5.6534e-05       2.8726
_SET1_   ARHGAP26       5  142114881  142618572   2269     184  228528      -1.0956      0.93096    5.6534e-05      -1.0957
_SET1_   STK32A         5  146579526  146777418   1244     121  256510      -1.3795      0.94088    5.6534e-05      -1.3795
_SET1_   SPARC          5  151030657  151101615    315      59  207028   -0.0014864      0.55859    5.6534e-05   -0.0015429
_SET1_   WWC1           5  167684065  167909308   1253     178  244896      0.30343      0.51384    5.6534e-05      0.30337
_SET1_   SH3PXD2B       5  171742185  171916527    977      82  270327      -0.5379      0.73264    5.6534e-05     -0.53796
_SET1_   GMPR           6   16203811   16305780    611      74  225192       1.9118     0.041681    5.6534e-05       1.9118
_SET1_   CARMIL1        6   25244656   25630758   2715     165  267899     -0.49679      0.77644    5.6534e-05     -0.49684
_SET1_   GABBR1         6   29560005   29635962    579      57  250920      0.17654      0.48195    5.6534e-05      0.17649
_SET1_   COL21A1        6   55911388   56147544   1279      44  316815      0.63647      0.22895    5.6534e-05      0.63641
_SET1_   OGFRL1         6   71963477   72023267    380      36  321499       0.4719      0.32972    5.6534e-05      0.47184
_SET1_   BCKDHB         6   80781344   81065987   1285      55  287381     -0.92762       0.8155    5.6534e-05     -0.92768
_SET1_   FUT9           6   96428845   96673488   1504      94  282452      -1.9484      0.97971    5.6534e-05      -1.9484
_SET1_   REV3L          6  111610234  111839421    817      60  283507      0.53504      0.31304    5.6534e-05      0.53498
_SET1_   FYN            6  111971535  112229655   1164      81  266446       2.2096     0.018257    5.6534e-05       2.2096
_SET1_   GJA1           6  121721745  121780873    322      40  319001      0.90902      0.18588    5.6534e-05      0.90896
_SET1_   PDE7B          6  136137834  136526709   1654     131  175485       2.0837     0.038152    5.6534e-05       2.0836
_SET1_   MAP3K5         6  136868184  137148656   1094     102  186494       1.9416     0.041971    5.6534e-05       1.9416
_SET1_   NHSL1          6  138733180  138928726    945     115  251595      0.50775      0.39316    5.6534e-05      0.50769
_SET1_   REPS1          6  139215620  139344419    619      59  295225       1.1316      0.13784    5.6534e-05       1.1315
_SET1_   UTRN           6  144571434  145184170   2997     159  199452        -1.88      0.98702    5.6534e-05      -1.8801
_SET1_   SASH1          6  148628729  148883185   1448     185  296925      0.44388      0.44932    5.6534e-05      0.44383
_SET1_   ITGB8          7   20335345   20465382    641      67  317755      0.28601        0.394    5.6534e-05      0.28596
_SET1_   AQP1           7   30916415   30975131    270      76  250397      0.51815      0.38645    5.6534e-05      0.51809
_SET1_   GLI3           7   41990547   42312469   1742     169  262417    -0.079104      0.64588    5.6534e-05     -0.07916
_SET1_   EGFR           7   55051678   55289262   1218     154  231375      0.50988      0.42349    5.6534e-05      0.50982
_SET1_   PON2           7   95024174   95099636    369      55  308758       2.5491     0.006014    5.6534e-05        2.549
_SET1_   CDHR3          7  105482251  105686877   1065     155  298177      -1.3862      0.94999    5.6534e-05      -1.3862
_SET1_   NRCAM          7  107778071  108131841   1894     103  299843     -0.79603      0.81463    5.6534e-05     -0.79609
_SET1_   PTPRZ1         7  121478159  121712090    954      86  278900       2.1565     0.020042    5.6534e-05       2.1565
_SET1_   MKLN1          7  130759855  131191398   1809     187  262391     -0.17623      0.69616    5.6534e-05     -0.17628
_SET1_   MFHAS1         8    8630864    8786131   1167      96  287752      0.01272      0.53344    5.6534e-05     0.012664
_SET1_   CSGALNACT1     8   19251672   19575261   2071     141  276826     0.061969      0.55496    5.6534e-05     0.061912
_SET1_   CLU            8   27444434   27507328    306      56  286567       2.0962     0.020835    5.6534e-05       2.0961
_SET1_   RBPMS          8   30207017   30439778    885      85  248114     -0.53629       0.7467    5.6534e-05     -0.53635
_SET1_   ASPH           8   62403115   62662199   1124      99  265612        1.584     0.076281    5.6534e-05       1.5839
_SET1_   NKAIN3         8   63126501   63922211   4290     126  255716      0.86929      0.24557    5.6534e-05      0.86924
_SET1_   PREX2          8   68829244   69153897   1852     169  271343       1.4847      0.11028    5.6534e-05       1.4847
_SET1_   EYA1           8   72099668   72494888   1666     202  258971      0.23769      0.55525    5.6534e-05      0.23763
_SET1_   RNF19A         8  101259285  101383446    496      49  251729     -0.96881      0.84377    5.6534e-05     -0.96887
_SET1_   BAALC          8  104117921  104252533    781      83  308275       0.6462      0.28532    5.6534e-05      0.64614
_SET1_   TRPS1          8  116410724  116748299   1083      84  187973      -0.3639      0.69389    5.6534e-05     -0.36395
_SET1_   ADCY8          8  131782546  132088012   1761     116  266254       -1.426      0.94341    5.6534e-05       -1.426
_SET1_   PLEC           8  144979321  145085913    528      39  210306       1.9923      0.02413    5.6534e-05       1.9923
_SET1_   GLIS3          9    3814128    4335036   3718     317  264396      0.84979      0.36794    5.6534e-05      0.84973
_SET1_   NFIB           9   14071842   14433982   1978     243  191570      -1.0701      0.94717    5.6534e-05      -1.0702
_SET1_   FAM189A2       9   71904287   72017372    605      59  296599     0.041611      0.49884    5.6534e-05     0.041554
_SET1_   TRPM3          9   73133979   74096782   4833     222  273448       1.6457       0.1005    5.6534e-05       1.6456
_SET1_   PCSK5          9   78470560   78987255   2962     329  280711      -1.1052      0.94571    5.6534e-05      -1.1053
_SET1_   NTRK2          9   87248417   87651985   1918     159  259706      0.57587      0.38891    5.6534e-05      0.57581
_SET1_   DAPK1          9   90077601   90333566   1599     160  245302      0.32894       0.4759    5.6534e-05      0.32889
_SET1_   ABCA1          9  107533283  107725527   1198     173  300331     -0.18295      0.68969    5.6534e-05     -0.18301
_SET1_   COL27A1        9  116883231  117082975   1162     192  283364      -1.6264       0.9755    5.6534e-05      -1.6265
_SET1_   TNC            9  117771854  117915536    793      81  270338     -0.31192      0.65768    5.6534e-05     -0.31197
_SET1_   ASTN2          9  119177504  120212317   5455     280  258099      -1.4519      0.97351    5.6534e-05       -1.452
_SET1_   PFKP          10    3074667    3188997   1102     142  286545     -0.50973      0.76557    5.6534e-05     -0.50979
_SET1_   PFKFB3        10    6151843    6287508    991     202  259548      0.10912      0.61355    5.6534e-05      0.10907
_SET1_   NEBL          10   21058900   21498116   2154     158  231131       1.1653      0.19499    5.6534e-05       1.1653
_SET1_   ABI1          10   27025525   27185016    862      56  243696    -0.029702      0.52933    5.6534e-05    -0.029758
_SET1_   PARD3         10   34388488   35139253   3371     151  234675       1.1695      0.17735    5.6534e-05       1.1694
_SET1_   FRMPD2        10   49354602   49517941    646      70  179174       0.6108      0.34168    5.6534e-05      0.61074
_SET1_   CDH23         10   73121691   73585704   2994     292  216659     0.099885      0.67391    5.6534e-05     0.099828
_SET1_   CAMK2G        10   75562259   75669349    357      51  205297       1.3565      0.10978    5.6534e-05       1.3564
_SET1_   NRG3          10   83600070   84756935   5553     308  264910      0.23155       0.6086    5.6534e-05      0.23149
_SET1_   BMPR1A        10   88481396   88694945    964      61  251614     -0.58452      0.74415    5.6534e-05     -0.58457
_SET1_   GLUD1         10   88799959   88889776    318      43  287543      0.73511      0.24083    5.6534e-05      0.73505
_SET1_   LGI1          10   95482566   95567916    443      92  255714       1.2394      0.14936    5.6534e-05       1.2394
_SET1_   SORBS1        10   97061530   97356171   1628     136  298934       0.7694      0.28356    5.6534e-05      0.76935
_SET1_   HPSE2         10  100206834  101030632   3756     116  231809      -0.3417      0.69636    5.6534e-05     -0.34176
_SET1_   TCF7L2        10  114674978  114937437   1141     161  203119     -0.37568      0.76685    5.6534e-05     -0.37574
_SET1_   ABLIM1        10  116180869  116479762   1519     144  247395      0.94567       0.2444    5.6534e-05      0.94561
_SET1_   STK33         11    8403417    8650836   1146      51  306883     -0.37258      0.62546    5.6534e-05     -0.37264
_SET1_   IRAG1         11   10584638   10750535    808      97  294925       2.4114     0.011089    5.6534e-05       2.4113
_SET1_   DKK3          11   11974543   12066373    538      89  264409      0.11254      0.52049    5.6534e-05      0.11248
_SET1_   TEAD1         11   12660969   12976284   1204     111  209489     -0.19934       0.6583    5.6534e-05     -0.19939
_SET1_   SPON1         11   13949184   14299679   1485     118  288577      -1.6087      0.95806    5.6534e-05      -1.6088
_SET1_   SOX6          11   15977995   16532935   2091     116  205558       3.7807   0.00017296    5.6534e-05       3.7806
_SET1_   NAV2          11   19337271   20153147   4346     388  240340       1.6858      0.12784    5.6534e-05       1.6857
_SET1_   LGR4          11   27377508   27529338    516      72  246782      -1.4908      0.94858    5.6534e-05      -1.4908
_SET1_   CD44          11   35125417   35263949    803     112  282582      -1.6369      0.96649    5.6534e-05      -1.6369
_SET1_   SLC1A2        11   35262752   35476610   1100      91  269614    -0.020406      0.54506    5.6534e-05    -0.020462
_SET1_   PAMR1         11   35443374   35586848    822     106  289541      -1.4845      0.94684    5.6534e-05      -1.4846
_SET1_   LRP4          11   46868268   46975173    360      53  212942     -0.35389      0.70376    5.6534e-05     -0.35395
_SET1_   PPFIA1        11   70081806   70240607    637      67  233669     -0.45848      0.72549    5.6534e-05     -0.45854
_SET1_   FAT3          11   92012446   92639636   2631     137  230471     -0.23505       0.6775    5.6534e-05     -0.23511
_SET1_   MAML2         11   95701440   96111344   2216     222  268216     -0.86789      0.89928    5.6534e-05     -0.86794
_SET1_   ARHGAP42      11  100523407  100871656   2055     104  330456      0.11306      0.48299    5.6534e-05        0.113
_SET1_   YAP1          11  101946151  102114154    757      60  229993     0.070166      0.49498    5.6534e-05      0.07011
_SET1_   MGST1         12   16465076   16540123    323      61  268271       1.0578      0.16957    5.6534e-05       1.0577
_SET1_   PLEKHA5       12   19247626   19539334   1314      75  251690      -1.1309      0.89767    5.6534e-05       -1.131
_SET1_   ST8SIA1       12   22336325   22522648    838      65  294053     -0.53423      0.71349    5.6534e-05     -0.53428
_SET1_   SOX5          12   23672438   24750383   5382     403  258120      0.74276      0.41168    5.6534e-05       0.7427
_SET1_   ITPR2         12   26478285   27021131   2662     181  294206      -2.0939      0.99112    5.6534e-05       -2.094
_SET1_   CNTN1         12   41051244   41476214   2183     109  279367       1.3654      0.10723    5.6534e-05       1.3654
_SET1_   PDZRN4        12   41547250   41978392   2511      97  265499      0.68673      0.27346    5.6534e-05      0.68667
_SET1_   METTL7A       12   51282780   51336300    231      47  274204       1.6782     0.054879    5.6534e-05       1.6782
_SET1_   LRP1          12   57487282   57617142    449     105  200851     -0.39514      0.75213    5.6534e-05     -0.39519
_SET1_   SRGAP1        12   64203276   64551643   1254     162  251390        1.392      0.14284    5.6534e-05       1.3919
_SET1_   ACSS3         12   81436797   81660538   1247      68  255643      0.67935       0.2574    5.6534e-05      0.67929
_SET1_   MGAT4C        12   86363037   87267681   4128     100  250043     -0.80391      0.82754    5.6534e-05     -0.80396
_SET1_   CHPT1         12  102056417  102132852    432      69  293122        2.041     0.025266    5.6534e-05        2.041
_SET1_   RFX4          12  106941685  107166582    876      73  257568      -0.3343      0.67022    5.6534e-05     -0.33435
_SET1_   ACACB         12  109519222  109716031    967      97  264889       0.6874      0.29999    5.6534e-05      0.68735
_SET1_   TPCN1         12  113624260  113746390    557      37  193740      -1.6166      0.95855    5.6534e-05      -1.6166
_SET1_   STARD13       13   33667272   34285932   3079     224  239565    -0.087246      0.69709    5.6534e-05    -0.087302
_SET1_   DCLK1         13   36332789   36740514   2027     186  287525      -1.8405      0.98388    5.6534e-05      -1.8406
_SET1_   LHFPL6        13   39907029   40212356   1639     155  262018    -0.017976      0.61243    5.6534e-05    -0.018033
_SET1_   FOXO1         13   41119801   41275734    610      50  241212      -1.1274      0.88219    5.6534e-05      -1.1274
_SET1_   CAB39L        13   49872786   50053221    897     102  236467      0.86372      0.24035    5.6534e-05      0.86366
_SET1_   EDNRB         13   78459616   78584664    741      41  305403     -0.72293      0.76286    5.6534e-05     -0.72298
_SET1_   GPC5          13   92015935   93529490   7354     362  257294       -0.982      0.92798    5.6534e-05     -0.98206
_SET1_   FARP1         13   98759893   99112023   2035     251  277642      0.84848      0.34813    5.6534e-05      0.84843
_SET1_   IRS2          13  110396184  110473914    432      70  259515     -0.52775      0.74405    5.6534e-05     -0.52781
_SET1_   NDRG2         14   21474922   21574098    480     145  243210      -1.6073      0.97443    5.6534e-05      -1.6074
_SET1_   PRKD1         14   30035685   30431899   1914     144  209608      0.34393      0.48263    5.6534e-05      0.34388
_SET1_   NPAS3         14   33369115   34283382   4926     458  264685     -0.73326      0.89662    5.6534e-05     -0.73332
_SET1_   EGLN3         14   34383421   34455284    383      56  261956       1.2972      0.10919    5.6534e-05       1.2971
_SET1_   SAMD4A        14   54998815   55270033   1217     231  246820       2.6073     0.016178    5.6534e-05       2.6072
_SET1_   HIF1A         14   62127118   62224977    414      54  225306      0.93727      0.22185    5.6534e-05      0.93722
_SET1_   ZFP36L1       14   69244372   69298184    272      36  290832     -0.10491      0.54174    5.6534e-05     -0.10496
_SET1_   RGS6          14   72363817   73043238   4015     234  274284      -0.2017      0.73164    5.6534e-05     -0.20176
_SET1_   STON2         14   81716994   81937789   1084     108  261255       -1.273      0.92683    5.6534e-05       -1.273
_SET1_   FLRT2         14   85961411   86105040    759      85  291494      0.47686      0.34964    5.6534e-05       0.4768
_SET1_   SLC24A4       14   92753925   92977825   1440     134  275969      -1.6162      0.96548    5.6534e-05      -1.6163
_SET1_   CKB           14  103975995  104024196    239      53  227901     -0.84662      0.83278    5.6534e-05     -0.84667
_SET1_   RYR3          15   33568177   34168304   3878     340  284558       -1.568      0.98072    5.6534e-05       -1.568
_SET1_   RORA          15   60770483   61556502   3803     373  251634      0.23837      0.61724    5.6534e-05      0.23831
_SET1_   RASL12        15   65327919   65395707    355      56  157518       -1.132      0.91115    5.6534e-05      -1.1321
_SET1_   ACSBG1        15   78453187   78562049    550      90  288542       1.6423     0.065402    5.6534e-05       1.6423
_SET1_   ARNT2         15   80661692   80900278   1290     150  235801     -0.72593      0.84657    5.6534e-05     -0.72599
_SET1_   NTRK3         15   88409948   88835026   2199     172  190746     -0.48331       0.8061    5.6534e-05     -0.48336
_SET1_   RGMA          15   93576636   93667443    674     131  250482      0.49467      0.40509    5.6534e-05      0.49461
_SET1_   METRN         16     730173     779655    263      47  212185     -0.73694      0.80799    5.6534e-05       -0.737
_SET1_   CLEC16A       16   11003345   11286046   1505      85  241077      -1.6672       0.9618    5.6534e-05      -1.6673
_SET1_   SYT17         16   19144541   19289656    689     161  210446      0.78263      0.33805    5.6534e-05      0.78258
_SET1_   IQCK          16   19692778   19879087    828      56  195054       0.2203      0.46501    5.6534e-05      0.22025
_SET1_   MT2A          16   56607478   56653409    283      50  311336      -1.0355      0.86315    5.6534e-05      -1.0356
_SET1_   MT1E          16   56624557   56671024    309      63  303657    -0.048244      0.55947    5.6534e-05      -0.0483
_SET1_   MTSS2         16   70685107   70754954    485      78  203628     0.078981       0.5525    5.6534e-05     0.078925
_SET1_   GAN           16   81313571   81423803    745      67  240129     -0.11104      0.58394    5.6534e-05     -0.11109
_SET1_   ABR           17     896758    1125616   1481     229  243925      0.27144      0.56909    5.6534e-05      0.27139
_SET1_   ACADVL        17    7085444    7138586    222      73  170644       1.7894     0.065683    5.6534e-05       1.7894
_SET1_   ATP1B2        17    7519254    7571089    257      30  300285      0.17171      0.42651    5.6534e-05      0.17166
_SET1_   GFAP          17   42972994   43027920    273      51  303114       1.2105        0.128    5.6534e-05       1.2105
_SET1_   ANKFN1        17   54195836   54570007   1529     110  252384      0.34457      0.43565    5.6534e-05      0.34451
_SET1_   MSI2          17   55298931   55772050   2390     290  240453     -0.19967      0.77487    5.6534e-05     -0.19973
_SET1_   PRKCA         17   64263760   64816862   3268     210  273690     -0.56407      0.82405    5.6534e-05     -0.56412
_SET1_   PITPNC1       17   65338397   65703379   1681     227  238535     -0.73563      0.88537    5.6534e-05     -0.73569
_SET1_   SOX9          17   70082161   70132561    226      47  211384     -0.62171       0.7808    5.6534e-05     -0.62176
_SET1_   SLC39A11      17   70632085   71123853   2988     294  239824      0.73559      0.41791    5.6534e-05      0.73553
_SET1_   ITGB4         17   73682516   73763899    343      95  190724      0.16975      0.55224    5.6534e-05       0.1697
_SET1_   COLEC12       18     309355     535729   1546     172  296236      0.96634      0.24159    5.6534e-05      0.96628
_SET1_   LAMA1         18    6931743    7152813   1269     202  244185     -0.75673      0.87408    5.6534e-05     -0.75679
_SET1_   CABLES1       18   20679528   20850434    771     106  219261      -1.5666      0.96615    5.6534e-05      -1.5666
