# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
HES5           1    2450184    2496684    224      55  218279      0.91226    5.6534e-05      0.91221
TNFRSF14       1    2452291    2505268    256      41  228948       1.0828    5.6534e-05       1.0827
PRXL2B         1    2482899    2532908    268      36  250485      0.53561    5.6534e-05      0.53555
MMEL1          1    2512078    2599499    386      41  264293     -0.75093    5.6534e-05     -0.75099
TTC34          1    2562807    2741230    418      49  231488     -0.10554    5.6534e-05      -0.1056
ACTRT2         1    2903046    2949467    364      37  201711     -0.30826    5.6534e-05     -0.30832
PRDM16         1    2950565    3365185   2814     314  218417     0.095616    5.6534e-05     0.095559
ARHGEF16       1    3336147    3407677    451      63  255895     -0.94045    5.6534e-05     -0.94051
MEGF6          1    3394506    3563059   1121     164  230996      -0.4704    5.6534e-05     -0.47046
TPRG1L         1    3506556    3556695    351      59  253536     -0.18435    5.6534e-05     -0.18441
TP73           1    3534129    3662765    749     138  232777      -1.7452    5.6534e-05      -1.7452
WRAP73         1    3537331    3601671    357      79  225154     -0.92347    5.6534e-05     -0.92352
CCDC27         1    3633965    3698209    394      74  260249     0.032424    5.6534e-05     0.032368
SMIM1          1    3654352    3702546    332      64  258994      0.52901    5.6534e-05      0.52895
LRRC47         1    3686784    3748068    500      51  306503      0.57821    5.6534e-05      0.57816
CEP104         1    3718645    3808797    789      54  303147     -0.26608    5.6534e-05     -0.26613
DFFB           1    3738845    3811993    652      57  299937     -0.31906    5.6534e-05     -0.31911
C1orf174       1    3795697    3851857    333      57  243975     -0.63123    5.6534e-05     -0.63128
AJAP1          1    4680105    4853851   1258     147  295461       1.8905    5.6534e-05       1.8904
NPHP4          1    5912870    6087618    961      59  253943     -0.40551    5.6534e-05     -0.40557
KCNAB2         1    6017358    6171253    825     110  248285      0.82125    5.6534e-05       0.8212
CHD5           1    6151847    6275194    623      83  266249      0.76346    5.6534e-05       0.7634
RNF207         1    6231189    6291359    252      50  228999        1.144    5.6534e-05       1.1439
RPL22          1    6235080    6294679    250      58  223593       1.0654    5.6534e-05       1.0654
HES3           1    6269252    6315638    203      48  213024      0.30656    5.6534e-05      0.30651
ICMT           1    6271253    6331044    276      49  204979    -0.060444    5.6534e-05      -0.0605
GPR153         1    6297406    6356035    269      59  218474      -1.0027    5.6534e-05      -1.0028
ACOT7          1    6314332    6488826    969      58  253631      -0.4974    5.6534e-05     -0.49745
ESPN           1    6449836    6531004    406      44  276138      -0.0105    5.6534e-05    -0.010557
HES2           1    6465292    6519724    250      37  290908      0.16071    5.6534e-05      0.16065
TNFRSF25       1    6510787    6562432    230      60  217572      -1.3533    5.6534e-05      -1.3533
PLEKHG5        1    6516152    6615121    509      65  236715      -1.0924    5.6534e-05      -1.0924
NOL9           1    6571407    6649658    393      37  225099     -0.44625    5.6534e-05     -0.44631
TAS1R1         1    6579987    6649817    336      41  223176     -0.62034    5.6534e-05      -0.6204
ZBTB48         1    6605051    6659340    270      57  203213     -0.33376    5.6534e-05     -0.33382
PHF13          1    6638756    6694093    205      54  222870      0.12725    5.6534e-05      0.12719
KLHL21         1    6640784    6697958    218      52  236129     0.018453    5.6534e-05     0.018396
THAP3          1    6649925    6705646    224      53  242138    -0.085136    5.6534e-05    -0.085193
DNAJC11        1    6684228    6796966    448      51  256056      -1.3085    5.6534e-05      -1.3085
CAMTA1         1    6810384    7839766   4798     356  258770     -0.45445    5.6534e-05     -0.45451
VAMP3          1    7796329    7851492    235      58  297046      -1.8966    5.6534e-05      -1.8966
PER3           1    7809413    7915241    494      59  323447     -0.95594    5.6534e-05       -0.956
UTS2           1    7897672    7948551    296      40  353620     -0.60475    5.6534e-05      -0.6048
TNFRSF9        1    7965931    8038225    294      56  226500     -0.18865    5.6534e-05     -0.18871
PARK7          1    7986714    8055342    267      48  214562     0.020272    5.6534e-05     0.020216
ERRFI1         1    8061779    8121393    187      39  208792     -0.16972    5.6534e-05     -0.16977
SLC45A1        1    8343171    8414227    355      59  236279      -1.2784    5.6534e-05      -1.2784
RERE           1    8402464    8912699   1613      65  220341     -0.08702    5.6534e-05    -0.087077
ENO1           1    8911059    8974151    249      56  243067       1.0175    5.6534e-05       1.0174
CA6            1    8970893    9045151    467     102  258571     -0.81671    5.6534e-05     -0.81677
SLC2A7         1    9053359    9121404    360      76  263556      0.50081    5.6534e-05      0.50075
SLC2A5         1    9087005    9166763    456      55  273763       1.6236    5.6534e-05       1.6236
GPR157         1    9153472    9224229    333      59  235284       2.0497    5.6534e-05       2.0496
H6PD           1    9259822    9341396    483      70  285944       1.2066    5.6534e-05       1.2066
SPSB1          1    9300202    9439591    921     151  266842     -0.43909    5.6534e-05     -0.43915
SLC25A33       1    9564528    9652831    349      51  153851     0.047571    5.6534e-05     0.047514
TMEM201        1    9613932    9684935    273      40  152750      0.35704    5.6534e-05      0.35698
PIK3CD         1    9676789    9799172    607      93  162694      -0.6114    5.6534e-05     -0.61146
CLSTN1         1    9779079    9919550    692      61  135601       1.0978    5.6534e-05       1.0978
CTNNBIP1       1    9898334   10005316    437      82  151379       1.2049    5.6534e-05       1.2049
NMNAT1         1    9968486   10055556    304      45  223003       1.7423    5.6534e-05       1.7423
LZIC           1    9972168   10038460    232      53  231686       1.7765    5.6534e-05       1.7765
RBP7           1   10022255   10086078    222      42  241358       2.3305    5.6534e-05       2.3304
UBE4B          1   10058041   10251297    745      51  231411       2.3847    5.6534e-05       2.3847
KIF1B          1   10235606   10451664   1009      36  310922      0.98509    5.6534e-05      0.98503
PGD            1   10423884   10490565    310      37  263710       1.0362    5.6534e-05       1.0361
CENPS          1   10454944   10520239    271      45  251082       1.1304    5.6534e-05       1.1303
CORT           1   10474776   10522060    193      39  229443      0.98091    5.6534e-05      0.98085
PEX14          1   10500003   10700815    766      68  252551      0.24421    5.6534e-05      0.24415
DFFA           1   10510588   10567613    220      40  226958     0.020123    5.6534e-05     0.020066
CASZ1          1   10686661   10891733   1037     203  240126      0.11124    5.6534e-05      0.11118
C1orf127       1   10996530   11077094    449      75  255258      -1.0169    5.6534e-05       -1.017
TARDBP         1   11037462   11095549    273      51  224857      -1.1346    5.6534e-05      -1.1346
MASP2          1   11076580   11142296    291      33  267523      0.33309    5.6534e-05      0.33303
SRM            1   11104649   11155091    219      26  273614      0.68174    5.6534e-05      0.68169
EXOSC10        1   11116675   11194961    322      23  286199       0.8635    5.6534e-05      0.86344
MTOR           1   11156588   11357614    734      38  268665      0.66018    5.6534e-05      0.66012
ANGPTL7        1   11214346   11266038    190      24  248520       1.1646    5.6534e-05       1.1646
UBIAD1         1   11298255   11358491    197      37  275651     -0.18036    5.6534e-05     -0.18041
DISP3          1   11504295   11607640    483      53  284356      0.40325    5.6534e-05       0.4032
FBXO44         1   11679432   11733384    257      63  259559       1.4249    5.6534e-05       1.4248
FBXO6          1   11689150   11744411    284      69  262889       1.3206    5.6534e-05       1.3205
FBXO2          1   11697924   11749888    265      66  244664      0.99337    5.6534e-05      0.99332
DRAXIN         1   11716781   11790336    375      92  239020      0.13035    5.6534e-05       0.1303
MAD2L2         1   11724537   11786678    326      78  239643    -0.055728    5.6534e-05    -0.055784
AGTRAP         1   11761142   11820828    287      68  220468     -0.13741    5.6534e-05     -0.13747
C1orf167       1   11788827   11859642    423      60  286821      0.83312    5.6534e-05      0.83307
CLCN6          1   11831153   11913201    596      35  320244      0.65746    5.6534e-05       0.6574
MTHFR          1   11835787   11901160    477      32  326438      0.61948    5.6534e-05      0.61942
NPPA           1   11895766   11942840    319      53  282989     0.049375    5.6534e-05     0.049318
NPPB           1   11907521   11953992    308      45  269782      -1.0392    5.6534e-05      -1.0393
PLOD1          1   11959724   12045599    486      64  256265      -1.0736    5.6534e-05      -1.0736
KIAA2013       1   11969645   12021485    289      48  278277     -0.53199    5.6534e-05     -0.53204
MFN2           1   12005238   12083572    349      45  249348      -1.1017    5.6534e-05      -1.1018
MIIP           1   12044299   12102106    226      48  228628      -1.3875    5.6534e-05      -1.3875
TNFRSF8        1   12088434   12214264    586     141  212365     -0.60697    5.6534e-05     -0.60703
TNFRSF1B       1   12192044   12279279    437      78  234669      0.30807    5.6534e-05      0.30801
VPS13D         1   12255101   12582099   1221      76  227986       1.0921    5.6534e-05        1.092
DHRS3          1   12617939   12712820    602     108  259300     -0.89846    5.6534e-05     -0.89851
AADACL4        1   12669566   12737097    406      78  210063      0.50542    5.6534e-05      0.50536
AADACL3        1   12741118   12798726    304      59  222844       2.0528    5.6534e-05       2.0528
C1orf158       1   12771163   12831102    334      30  271645      -0.6825    5.6534e-05     -0.68256
PRAMEF12       1   12799984   12848049    225      37  258314     -0.81982    5.6534e-05     -0.81987
PRAMEF1        1   12816546   12866777    255      41  195872      -1.0715    5.6534e-05      -1.0716
PRAMEF11       1   12874468   12926264    277      34   82528     -0.79033    5.6534e-05     -0.79038
PRAMEF2        1   12881941   12931764    243      27   91136     -0.77858    5.6534e-05     -0.77863
HNRNPCL1       1   12897261   12943578    194      19  112262     -0.79457    5.6534e-05     -0.79462
PRAMEF4        1   12929033   12981025     18      13    5144       -1.078    5.6534e-05       -1.078
PRAMEF7        1   12941467   12990300     16      11    4708      -0.3325    5.6534e-05     -0.33256
PRAMEF10       1   12942727   12993094     16      11    4708      -0.3325    5.6534e-05     -0.33256
PRAMEF6        1   12988302   13042406      3       2    4142     -0.45704    5.6534e-05      -0.4571
PRAMEF25       1   13105447   13155000     13       4  219542     -0.63401    5.6534e-05     -0.63406
HNRNPCL2       1   13172960   13219326     90      17  141745      0.42332    5.6534e-05      0.42326
PRAMEF26       1   13206688   13254898      1       1     879     0.042004    5.6534e-05     0.041948
PRAMEF5        1   13324819   13379057      5       2    8269     -0.91104    5.6534e-05     -0.91109
PRAMEF33       1   13376517   13424502      5       2    8097       -1.226    5.6534e-05      -1.2261
PRAMEF8        1   13376646   13425765      5       2    8097       -1.226    5.6534e-05      -1.2261
PRAMEF13       1   13437414   13487656      3       2    9983     -0.23888    5.6534e-05     -0.23893
PRAMEF18       1   13464053   13512569      5       3    8571     -0.77725    5.6534e-05      -0.7773
PRAMEF14       1   13658269   13708511      3       2  158922     -0.22886    5.6534e-05     -0.22892
PRAMEF17       1   13681088   13729064      4       2  120248     -0.56955    5.6534e-05     -0.56961
PRAMEF19       1   13684889   13733405      5       3   98929     -0.35122    5.6534e-05     -0.35128
PRAMEF20       1   13701907   13757803      6       3   84717     -0.26332    5.6534e-05     -0.26338
LRRC38         1   13791445   13875242    600     109  262567       1.5304    5.6534e-05       1.5304
PDPN           1   13875252   13954452    484      98  230537     -0.72953    5.6534e-05     -0.72959
PRDM2          1   13991714   14161574    905      55  295128    -0.070958    5.6534e-05    -0.071014
KAZN           1   14184646   15454544   7659     522  268916     -0.59304    5.6534e-05      -0.5931
TMEM51         1   15444028   15556974    897      61  298054     -0.62921    5.6534e-05     -0.62927
FHAD1          1   15538730   15734767   1172     138  276281      0.55734    5.6534e-05      0.55729
EFHD2          1   15701391   15766839    371      63  236070      0.30424    5.6534e-05      0.30418
CTRC           1   15729938   15783153    286      73  207826      0.40414    5.6534e-05      0.40409
CELA2A         1   15748223   15808586    307      63  235416     0.063698    5.6534e-05     0.063641
CELA2B         1   15767596   15827895    316      63  271641      0.99997    5.6534e-05      0.99991
CASP9          1   15807896   15886407    386      29  291755      0.79701    5.6534e-05      0.79695
DNAJC16        1   15818343   15908228    410      33  290374      0.72196    5.6534e-05       0.7219
AGMAT          1   15888194   15946605    311      25  310153       0.6137    5.6534e-05      0.61365
DDI2           1   15908953   16005539    434      29  304651      0.71478    5.6534e-05      0.71472
RSC1A1         1   15951364   15998217    165      21  274081      0.91103    5.6534e-05      0.91098
PLEKHM2        1   15975632   16071264    412      45  265496      0.49457    5.6534e-05      0.49451
SLC25A34       1   16027721   16077884    251      48  259220      0.23907    5.6534e-05      0.23901
TMEM82         1   16033987   16084292    253      47  250095      0.54784    5.6534e-05      0.54778
FBLIM1         1   16048107   16123089    354      64  220157    -0.047181    5.6534e-05    -0.047237
UQCRHL         1   16123657   16169194    277      25  299739     -0.79303    5.6534e-05     -0.79309
SPEN           1   16139359   16276951    573      55  233916      -1.2782    5.6534e-05      -1.2783
ZBTB17         1   16258364   16337627    400      58  275412      -1.1737    5.6534e-05      -1.1737
SRARP          1   16295731   16343184    317      38  311783      -1.4437    5.6534e-05      -1.4438
CLCNKA         1   16313486   16370548    462      46  319038       -1.864    5.6534e-05       -1.864
HSPB7          1   16330523   16381084    426      51  307673      -2.1041    5.6534e-05      -2.1042
CLCNKB         1   16335231   16393821    487      56  312357      -2.3729    5.6534e-05      -2.3729
FAM131C        1   16374264   16435127    404      44  315159     -0.68046    5.6534e-05     -0.68052
EPHA2          1   16440832   16517582    331      62  236223     -0.55161    5.6534e-05     -0.55167
ARHGEF19       1   16514599   16574104    256      31  294336    -0.052929    5.6534e-05    -0.052986
CPLANE2        1   16548182   16598659    182      31  274367     -0.15699    5.6534e-05     -0.15704
FBXO42         1   16563339   16713965    542      36  274224      0.76849    5.6534e-05      0.76843
SZRD1          1   16658525   16734643    296      36  277596       1.0917    5.6534e-05       1.0916
SPATA21        1   16712101   16798919    416      68  252377       1.1181    5.6534e-05        1.118
NECAP2         1   16732167   16796585    320      58  241663       1.0915    5.6534e-05       1.0914
NBPF1          1   16878922   16975100     28      17    6458     -0.10935    5.6534e-05     -0.10941
CROCC          1   17213445   17309474    352      51  103077       1.6199    5.6534e-05       1.6198
MFAP2          1   17290997   17343081    228      58  243168      0.33549    5.6534e-05      0.33544
ATP13A2        1   17302453   17373467    290      41  292456    -0.043396    5.6534e-05    -0.043452
SDHB           1   17335217   17415665    464      34  338530      -1.0126    5.6534e-05      -1.0126
PADI2          1   17383256   17480948    616      68  289019      0.10302    5.6534e-05      0.10296
PADI1          1   17496621   17582501    618      95  264621     -0.10475    5.6534e-05     -0.10481
PADI3          1   17540593   17620728    543      76  283597     -0.19191    5.6534e-05     -0.19196
PADI4          1   17599690   17700495    746      69  318185     -0.94438    5.6534e-05     -0.94443
PADI6          1   17663741   17738195    570      68  303596     -0.47832    5.6534e-05     -0.47837
RCC2           1   17723251   17801250    438      55  251226     -0.58497    5.6534e-05     -0.58503
ARHGEF10L      1   17811693   18034370   1143     123  207863     -0.70939    5.6534e-05     -0.70945
ACTL8          1   18046808   18163558    524      72  237758     -0.32492    5.6534e-05     -0.32497
IGSF21         1   18399240   18714977   1881     238  261293      0.37181    5.6534e-05      0.37175
KLHDC7A        1   18772424   18822540    311      53  303942       1.4679    5.6534e-05       1.4678
PAX7           1   18922500   19085360    870     143  245512     -0.10537    5.6534e-05     -0.10543
TAS1R2         1   19156093   19221155    529      81  284321      0.34324    5.6534e-05      0.34318
ALDH4A1        1   19187924   19264293    552      79  256198       1.8087    5.6534e-05       1.8086
IFFO2          1   19220774   19317826    571      67  272668       1.8289    5.6534e-05       1.8289
UBR4           1   19391000   19571812    678      47  267358      0.32884    5.6534e-05      0.32879
EMC1           1   19532158   19613053    443      41  342323     -0.44178    5.6534e-05     -0.44184
MRTO4          1   19543075   19596622    285      34  338885     -0.40511    5.6534e-05     -0.40517
AKR7A3         1   19599057   19650280    269      43  337256     -0.20733    5.6534e-05     -0.20739
SLC66A1        1   19603740   19668925    342      57  320171     0.022398    5.6534e-05     0.022341
AKR7A2         1   19619202   19673640    288      40  308067     0.038917    5.6534e-05      0.03886
CAPZB          1   19655267   19847066   1103      71  281375      0.75924    5.6534e-05      0.75918
MICOS10        1   19888471   19966315    429      37  238986      0.61974    5.6534e-05      0.61969
NBL1           1   19934723   19994949    331      53  224310    -0.073076    5.6534e-05    -0.073133
HTR6           1   19956780   20016055    328      59  261141     -0.34828    5.6534e-05     -0.34834
TMCO4          1   19998706   20161424    904     137  293452     -0.62101    5.6534e-05     -0.62107
RNF186         1   20130522   20176771    287      60  311367      -2.0073    5.6534e-05      -2.0074
OTUD3          1   20173356   20249438    386      54  296950      -0.1804    5.6534e-05     -0.18045
PLA2G2E        1   20236800   20285110    283      43  266177      0.40034    5.6534e-05      0.40029
PLA2G2A        1   20291924   20341932    274      54  288683      0.56392    5.6534e-05      0.56386
PLA2G5         1   20351157   20428394    411      54  277091     -0.29768    5.6534e-05     -0.29774
PLA2G2D        1   20429143   20481059    243      88  215645     -0.99365    5.6534e-05     -0.99371
PLA2G2F        1   20430823   20486879    259      80  206969     -0.93244    5.6534e-05      -0.9325
UBXN10         1   20477578   20532540    229      62  260165     0.096763    5.6534e-05     0.096706
PLA2G2C        1   20480484   20536687    230      63  253035     -0.18822    5.6534e-05     -0.18828
VWA5B1         1   20582412   20691662    665      77  295533       1.2377    5.6534e-05       1.2376
CAMK2N1        1   20798884   20847728    215      55  213242     -0.58133    5.6534e-05     -0.58139
MUL1           1   20815941   20869674    265      39  248794     -0.28773    5.6534e-05     -0.28779
FAM43B         1   20843932   20891513    269      43  278938      0.11614    5.6534e-05      0.11608
CDA            1   20880444   20955401    530      51  322342     -0.43638    5.6534e-05     -0.43644
PINK1          1   20924948   20988004    382      34  316776     -0.78608    5.6534e-05     -0.78614
DDOST          1   20968260   21023037    321      79  233292     -0.68945    5.6534e-05     -0.68951
KIF17          1   20980475   21079317    536     105  253183     0.033351    5.6534e-05     0.033295
SH2D5          1   21036225   21094133    263      44  301161      0.45611    5.6534e-05      0.45605
HP1BP3         1   21059170   21148808    272      39  281705      0.82705    5.6534e-05        0.827
EIF4G3         1   21122785   21538381   1382      58  260829       2.6568    5.6534e-05       2.6567
ECE1           1   21533740   21707034    919     109  260390      0.83197    5.6534e-05      0.83192
NBPF3          1   21731583   21821393    488      57  250415      0.68481    5.6534e-05      0.68476
ALPL           1   21800475   21914905    678      82  306424     -0.48303    5.6534e-05     -0.48309
RAP1GAP        1   21912708   22031010    632     106  315194       0.8355    5.6534e-05      0.83544
USP48          1   21994791   22144688    787      72  290217      0.52999    5.6534e-05      0.52993
LDLRAD2        1   22103758   22161714    319      77  283097     -0.11545    5.6534e-05     -0.11551
HSPG2          1   22138737   22298750    911      85  269230       1.7984    5.6534e-05       1.7984
CELA3B         1   22268418   22325847    377      43  271310       1.6326    5.6534e-05       1.6325
CELA3A         1   22293149   22349035    333      44  217243       1.2337    5.6534e-05       1.2336
CDC42          1   22344120   22429439    449      52  297901       3.3789    5.6534e-05       3.3788
WNT4           1   22433798   22505474    432      87  274108       3.4312    5.6534e-05       3.4312
ZBTB40         1   22743344   22867650    433      55  223420      0.83654    5.6534e-05      0.83648
EPHA8          1   22855004   22940087    429      88  289404      -1.8672    5.6534e-05      -1.8672
C1QA           1   22928118   22976175    262      40  284181      -1.2798    5.6534e-05      -1.2799
C1QC           1   22934969   22984603    264      38  292094     -0.53469    5.6534e-05     -0.53474
C1QB           1   22944682   22998130    251      43  285457    -0.053609    5.6534e-05    -0.053665
EPHB2          1   23002263   23251823   1194     148  174526     -0.57269    5.6534e-05     -0.57275
LACTBL1        1   23269536   23334524    257      36  281759     -0.54884    5.6534e-05      -0.5489
KDM1A          1   23310937   23420184    335      53  213190     -0.60625    5.6534e-05     -0.60631
TEX46          1   23327327   23377343    150      40  205550     -0.50942    5.6534e-05     -0.50948
LUZP1          1   23400516   23539301    526      45  276188      0.11823    5.6534e-05      0.11817
HTR1D          1   23508388   23556222    264      27  301082     0.083671    5.6534e-05     0.083614
HNRNPR         1   23625953   23706143    300      43  164235       1.9319    5.6534e-05       1.9318
ZNF436         1   23675941   23731357    243      50  259774       1.0009    5.6534e-05       1.0008
TCEA3          1   23697555   23786269    388      60  244815     -0.18367    5.6534e-05     -0.18373
ASAP3          1   23745056   23845750    438      49  259142     -0.97555    5.6534e-05      -0.9756
E2F2           1   23822920   23892712    275      54  231009      -1.1766    5.6534e-05      -1.1766
ID3            1   23874421   23921285    197      58  199913      -1.2787    5.6534e-05      -1.2787
RPL11          1   23983269   24032915    217      49  201531       1.5216    5.6534e-05       1.5215
ELOA           1   24034856   24098549    214      43  150898      0.19203    5.6534e-05      0.19197
PITHD1         1   24069876   24124722    163      35   98521     0.022036    5.6534e-05      0.02198
LYPLA2         1   24082275   24132029    147      48  101744     -0.28671    5.6534e-05     -0.28676
GALE           1   24112089   24162294    128      33  177662     -0.64311    5.6534e-05     -0.64316
HMGCL          1   24118367   24200110    263      30  229105     -0.75085    5.6534e-05     -0.75091
FUCA1          1   24161567   24229859    377      33  290376      -1.3415    5.6534e-05      -1.3415
CNR2           1   24187005   24320549    442      41  232664      -1.5098    5.6534e-05      -1.5099
PNRC2          1   24251301   24299952     33      11   78763     -0.57963    5.6534e-05     -0.57969
SRSF10         1   24282935   24341953     16       5  153141     -0.69244    5.6534e-05      -0.6925
MYOM3          1   24372531   24473665    621      73  258053     -0.31383    5.6534e-05     -0.31388
IL22RA1        1   24436261   24504783    410      64  250550      0.16298    5.6534e-05      0.16293
IFNLR1         1   24470647   24548765    471      93  226840     0.073189    5.6534e-05     0.073132
GRHL3          1   24610812   24700972    446      81  275732     -0.87502    5.6534e-05     -0.87507
STPG1          1   24673489   24776587    538      49  254798     -0.80419    5.6534e-05     -0.80425
NIPAL3         1   24707245   24809473    536      52  233274     -0.53853    5.6534e-05     -0.53859
RCAN3          1   24793841   24873510    372      56  234433      0.80755    5.6534e-05      0.80749
NCMAP          1   24847567   24945819    580      74  305942      0.30343    5.6534e-05      0.30337
SRRM1          1   24934594   25009772    217      56  207900    -0.040352    5.6534e-05    -0.040408
CLIC4          1   25036760   25180815    455      61  196475    -0.033305    5.6534e-05    -0.033362
RUNX3          1   25216002   25326648    570      86  228830      0.17831    5.6534e-05      0.17825
SYF2           1   25538767   25594013    214      36   89530     -0.93233    5.6534e-05     -0.93239
RSRP1          1   25558740   25609010    171      38   93402      -1.0489    5.6534e-05      -1.0489
RHD            1   25563884   25666936    261      48   68316   -0.0018046    5.6534e-05   -0.0018611
TMEM50A        1   25629789   25698852    169      35   93763       0.8088    5.6534e-05      0.80874
RHCE           1   25677853   25782363    388      40  149366        1.506    5.6534e-05        1.506
MACO1          1   25722388   25836700    421      34  175947       2.0714    5.6534e-05       2.0713
LDLRAP1        1   25835071   25905377    317      56  201148      0.77494    5.6534e-05      0.77488
MAN1C1         1   25908959   26121258    910      74  153567      0.88352    5.6534e-05      0.88346
SELENON        1   26091667   26154713    280      52  216556      0.56154    5.6534e-05      0.56148
MTFR1L         1   26111397   26169433    265      32  233558    -0.041538    5.6534e-05    -0.041594
AUNIP          1   26148414   26220939    259      28  235743     -0.24937    5.6534e-05     -0.24943
PAQR7          1   26177975   26237461    184      36  204389     -0.26596    5.6534e-05     -0.26602
STMN1          1   26200670   26268368    223      40  194416    -0.083008    5.6534e-05    -0.083065
