Gene stable ID	Gene name	Gene % GC content	Gene type	HGNC symbol
ENSG00000089057	SLC23A2	44.93	protein_coding	SLC23A2
ENSG00000277117	FP565260.3	58.05	protein_coding	
ENSG00000233046	OR5V1	36.66	protein_coding	OR5V1
ENSG00000249030	OR12D1	45.93	unprocessed_pseudogene	OR12D1
ENSG00000251394	OR12D3	37.43	protein_coding	OR12D3
ENSG00000233892	PAIP1P1	45.24	processed_pseudogene	PAIP1P1
ENSG00000166206	GABRB3	41.34	protein_coding	GABRB3
ENSG00000235966	OR12D2	45.65	protein_coding	OR12D2
ENSG00000184933	OR6A2	37.88	protein_coding	OR6A2
ENSG00000151694	ADAM17	41.31	protein_coding	ADAM17
ENSG00000086288	NME8	37.47	protein_coding	NME8
ENSG00000149050	ZNF214	34.92	protein_coding	ZNF214
ENSG00000276612	FP565260.2	57.86	protein_coding	
ENSG00000280071	GATD3B	57.86	protein_coding	GATD3B
ENSG00000178358	OR2D3	44.21	protein_coding	OR2D3
ENSG00000276130	SLC22A18	61.28	protein_coding	SLC22A18
ENSG00000254712	AC087280.1	42.57	processed_pseudogene	
ENSG00000149054	ZNF215	37.06	protein_coding	ZNF215
ENSG00000250079	AC093300.1	46.46	processed_pseudogene	
ENSG00000249785	LINC02103	42.68	lncRNA	LINC02103
ENSG00000286432	AC109472.1	32.40	lncRNA	
ENSG00000270495	AC008825.2	54.87	processed_pseudogene	
ENSG00000250453	AC008825.1	34.32	lncRNA	
ENSG00000259539	AC051619.6	53.85	lncRNA	
ENSG00000283444	GPR141BP	37.55	unitary_pseudogene	GPR141BP
ENSG00000234573	AL121890.1	43.90	processed_pseudogene	
ENSG00000140254	DUOXA1	49.20	protein_coding	DUOXA1
ENSG00000277087	AL121890.3	34.50	lncRNA	
ENSG00000106483	SFRP4	39.07	protein_coding	SFRP4
ENSG00000276768	AL121890.2	40.65	lncRNA	
ENSG00000278816	AL121890.5	35.86	lncRNA	
ENSG00000277425	AL121890.4	50.51	lncRNA	
ENSG00000283415	AC087280.2	37.54	lncRNA	
ENSG00000166363	OR10A5	47.34	protein_coding	OR10A5
ENSG00000166368	OR2D2	45.41	protein_coding	OR2D2
ENSG00000162685	LSP1P3	58.17	processed_pseudogene	LSP1P3
ENSG00000270430	AC024589.3	36.63	processed_pseudogene	
ENSG00000271035	AC010385.2	41.43	processed_pseudogene	
ENSG00000170782	OR10A4	49.95	protein_coding	OR10A4
ENSG00000259786	LINC02109	35.31	lncRNA	LINC02109
ENSG00000279687	FP565260.5	54.89	lncRNA	
ENSG00000170790	OR10A2	37.83	protein_coding	OR10A2
ENSG00000239300	AC080162.1	42.79	lncRNA	
ENSG00000086289	EPDR1	38.37	protein_coding	EPDR1
ENSG00000275464	FP565260.1	56.84	protein_coding	
ENSG00000218359	SUMO2P13	44.85	processed_pseudogene	SUMO2P13
ENSG00000274454	SLC22A18AS	58.81	lncRNA	SLC22A18AS
ENSG00000185130	HIST1H2BL	57.17	protein_coding	HIST1H2BL
ENSG00000286885	AL138824.1	42.09	lncRNA	
ENSG00000137414	FAM8A1	40.35	protein_coding	FAM8A1
ENSG00000196747	HIST1H2AI	59.64	protein_coding	HIST1H2AI
ENSG00000281909	HERC2P7	46.87	unprocessed_pseudogene	HERC2P7
ENSG00000279967	FP671120.5	35.67	TEC	
ENSG00000259917	HNRNPLP2	56.31	unprocessed_pseudogene	HNRNPLP2
ENSG00000278828	HIST1H3H	49.07	protein_coding	HIST1H3H
ENSG00000230851	AP006294.1	61.36	processed_pseudogene	
ENSG00000187037	GPR141	38.45	protein_coding	GPR141
ENSG00000226400	AC010385.1	42.97	processed_pseudogene	
ENSG00000277878	AC010385.3	51.85	processed_pseudogene	
ENSG00000249226	SUCLG2P4	42.49	processed_pseudogene	SUCLG2P4
ENSG00000248687	AC024589.1	39.71	unprocessed_pseudogene	
ENSG00000197976	AKAP17A	60.91	protein_coding	AKAP17A
ENSG00000225314	AC018634.1	48.13	processed_pseudogene	
ENSG00000230042	AK3P3	46.54	processed_pseudogene	AK3P3
ENSG00000184357	HIST1H1B	59.32	protein_coding	HIST1H1B
ENSG00000122550	KLHL7	38.72	protein_coding	KLHL7
ENSG00000276903	HIST1H2AL	63.87	protein_coding	HIST1H2AL
ENSG00000146530	VWDE	33.94	protein_coding	VWDE
ENSG00000130988	RGN	43.38	protein_coding	RGN
ENSG00000273542	HIST1H4K	64.10	protein_coding	HIST1H4K
ENSG00000280802	ITPK1-AS1	49.56	lncRNA	ITPK1-AS1
ENSG00000275379	HIST1H3I	62.53	protein_coding	HIST1H3I
ENSG00000242793	AC135999.1	40.08	processed_pseudogene	
ENSG00000278840	AC009878.1	29.41	lncRNA	
ENSG00000274958	ITPK1	53.85	protein_coding	ITPK1
ENSG00000235518	AC011196.1	41.75	lncRNA	
ENSG00000275221	HIST1H2AK	62.85	protein_coding	HIST1H2AK
ENSG00000280017	AC112200.2	38.70	TEC	
ENSG00000217646	HIST1H2BPS2	56.76	processed_pseudogene	HIST1H2BPS2
ENSG00000278996	FP671120.4	61.22	lncRNA	
ENSG00000279450	AC112200.1	49.57	TEC	
ENSG00000280800	FP671120.6	54.82	lncRNA	
ENSG00000273703	HIST1H2BM	55.38	protein_coding	HIST1H2BM
ENSG00000088882	CPXM1	59.72	protein_coding	CPXM1
ENSG00000278326	PPP4R4	37.14	protein_coding	PPP4R4
ENSG00000278677	HIST1H2AM	61.83	protein_coding	HIST1H2AM
ENSG00000197238	HIST1H4J	62.20	protein_coding	HIST1H4J
ENSG00000197153	HIST1H3J	48.84	protein_coding	HIST1H3J
ENSG00000275126	HIST1H4L	58.97	protein_coding	HIST1H4L
ENSG00000276368	HIST1H2AJ	62.53	protein_coding	HIST1H2AJ
ENSG00000233822	HIST1H2BN	40.18	protein_coding	HIST1H2BN
ENSG00000138606	SHF	50.88	protein_coding	SHF
ENSG00000286155	FP671120.10	56.37	TEC	
ENSG00000286252	FP671120.11	44.71	TEC	
ENSG00000286057	FP671120.9	56.41	TEC	
ENSG00000286012	FP671120.8	38.78	TEC	
ENSG00000180347	ITPRID1	38.14	protein_coding	ITPRID1
ENSG00000281383	FP671120.7	54.82	lncRNA	
ENSG00000281055	IGLV2-34	57.80	IG_V_pseudogene	IGLV2-34
ENSG00000276550	HERC2P2	42.65	transcribed_unprocessed_pseudogene	HERC2P2
ENSG00000234105	AC009468.2	36.00	lncRNA	
ENSG00000228627	AC009468.1	35.54	lncRNA	
ENSG00000277273	CDK7	40.47	protein_coding	CDK7
ENSG00000138028	CGREF1	50.25	protein_coding	CGREF1
ENSG00000281345	IGLV2-33	55.99	IG_V_gene	IGLV2-33
ENSG00000286054	FP236383.7	56.41	TEC	
ENSG00000232907	DLGAP4-AS1	49.61	lncRNA	DLGAP4-AS1
ENSG00000281181	FP236383.5	54.82	lncRNA	
ENSG00000280614	FP236383.4	54.82	lncRNA	
ENSG00000238161	OR7E117P	47.66	unprocessed_pseudogene	OR7E117P
ENSG00000286267	FP236383.13	56.37	TEC	
ENSG00000286146	FP236383.9	44.68	TEC	
ENSG00000261559	FSCN1P1	65.83	processed_pseudogene	FSCN1P1
ENSG00000280441	FP236383.3	59.38	lncRNA	
ENSG00000278582	AC027139.2	55.57	unprocessed_pseudogene	
ENSG00000140274	DUOXA2	58.67	protein_coding	DUOXA2
ENSG00000274684	NMRAL1	49.30	protein_coding	NMRAL1
ENSG00000235132	OR2H1	41.39	protein_coding	OR2H1
ENSG00000101335	MYL9	58.60	protein_coding	MYL9
ENSG00000182048	TRPC2	49.54	transcribed_unprocessed_pseudogene	TRPC2
ENSG00000286178	FP236383.12	38.78	TEC	
ENSG00000215567	AC138701.1	33.76	unprocessed_pseudogene	
ENSG00000280866	IGLV3-32	57.28	IG_V_gene	IGLV3-32
ENSG00000258463	AC138701.2	65.93	processed_pseudogene	
ENSG00000274347	AC127381.2	53.14	unprocessed_pseudogene	
ENSG00000281493	IGLV3-31	54.92	IG_V_pseudogene	IGLV3-31
ENSG00000281031	IGLV3-30	57.60	IG_V_pseudogene	IGLV3-30
ENSG00000282572	AC215522.2	43.16	lncRNA	
ENSG00000280984	AL049748.2	43.86	lncRNA	
ENSG00000138030	KHK	53.11	protein_coding	KHK
ENSG00000280782	MRPS16P3	51.87	processed_pseudogene	MRPS16P3
ENSG00000140279	DUOX2	54.85	protein_coding	DUOX2
ENSG00000103932	RPAP1	50.42	protein_coding	RPAP1
ENSG00000283061	AC215522.3	39.96	lncRNA	
ENSG00000080845	DLGAP4	51.09	protein_coding	DLGAP4
ENSG00000188403	IGHV1OR15-9	54.82	IG_V_gene	IGHV1OR15-9
ENSG00000278767	SERPINA10	44.68	protein_coding	SERPINA10
ENSG00000258706	SLC20A1P3	44.30	processed_pseudogene	SLC20A1P3
ENSG00000276935	MBOAT7	54.94	protein_coding	MBOAT7
ENSG00000286149	FP236383.11	56.37	TEC	
ENSG00000286032	FP236383.6	44.44	TEC	
ENSG00000286091	FP236383.8	56.41	TEC	
ENSG00000286148	FP236383.10	38.78	TEC	
ENSG00000032742	IFT88	38.74	protein_coding	IFT88
ENSG00000185187	SIGIRR	65.22	protein_coding	SIGIRR
ENSG00000260035	AC051619.8	50.00	lncRNA	
ENSG00000137857	DUOX1	52.90	protein_coding	DUOX1
ENSG00000277424	HMOX2	47.62	protein_coding	HMOX2
ENSG00000227228	UBDP1	41.05	unprocessed_pseudogene	UBDP1
ENSG00000224444	MAS1LP1	52.82	unprocessed_pseudogene	MAS1LP1
ENSG00000227716	AP000459.1	32.25	lncRNA	
ENSG00000259337	IGHV1OR15-2	54.92	IG_V_pseudogene	IGHV1OR15-2
ENSG00000233141	MAS1L	49.78	protein_coding	MAS1L
ENSG00000077800	FKBP6	47.76	protein_coding	FKBP6
ENSG00000273644	AC215522.1	48.65	processed_pseudogene	
ENSG00000242611	AC093627.6	56.92	lncRNA	
ENSG00000288094	AP000961.1	36.96	lncRNA	
ENSG00000232302	RPS17P1	50.25	processed_pseudogene	RPS17P1
ENSG00000232325	AC093627.1	53.99	lncRNA	
ENSG00000232652	LINC02829	47.64	lncRNA	LINC02829
ENSG00000259490	IGHV3OR15-7	48.92	IG_V_gene	IGHV3OR15-7
ENSG00000287612	AP000474.2	38.10	lncRNA	
ENSG00000231986	AP000474.1	34.81	lncRNA	
ENSG00000230674	LINC01015	57.60	lncRNA	LINC01015
ENSG00000235564	AP000477.2	45.97	lncRNA	
ENSG00000270961	IGHD5OR15-5A	39.13	IG_D_gene	IGHD5OR15-5A
ENSG00000287883	AC093627.22	53.21	lncRNA	
ENSG00000274641	HIST1H2BO	59.32	protein_coding	HIST1H2BO
ENSG00000226996	AP000477.1	35.43	lncRNA	
ENSG00000281141	AL110118.3	51.00	processed_pseudogene	
ENSG00000287801	AP000477.3	35.69	lncRNA	
ENSG00000271317	IGHD4OR15-4A	42.11	IG_D_gene	IGHD4OR15-4A
ENSG00000237698	GPR53P	52.77	processed_pseudogene	GPR53P
ENSG00000254686	AL138812.1	43.03	lncRNA	
ENSG00000233200	LINC02634	42.02	lncRNA	LINC02634
ENSG00000168131	OR2B2	41.25	protein_coding	OR2B2
ENSG00000281567	SLC25A51P1	43.51	processed_pseudogene	SLC25A51P1
ENSG00000282520	IGHD3OR15-3A	29.03	IG_D_gene	IGHD3OR15-3A
ENSG00000251196	AC106760.1	54.67	unprocessed_pseudogene	
ENSG00000277364	ADH5P4	45.86	processed_pseudogene	ADH5P4
ENSG00000106341	PPP1R17	40.62	protein_coding	PPP1R17
ENSG00000282599	IGHD2OR15-2A	29.03	IG_D_gene	IGHD2OR15-2A
ENSG00000250106	ANKRD33B-AS1	48.96	lncRNA	ANKRD33B-AS1
ENSG00000023516	AKAP11	36.45	protein_coding	AKAP11
ENSG00000271336	IGHD1OR15-1A	41.18	IG_D_gene	IGHD1OR15-1A
ENSG00000164236	ANKRD33B	47.64	protein_coding	ANKRD33B
ENSG00000280814	AL356432.5	37.95	processed_pseudogene	
ENSG00000277988	FAM30B	58.11	unprocessed_pseudogene	FAM30B
ENSG00000278268	MOAP1	51.56	protein_coding	MOAP1
ENSG00000277938	AL035252.3	49.57	lncRNA	
ENSG00000274414	AL121772.1	47.65	lncRNA	
ENSG00000229467	OR2I1P	66.77	unprocessed_pseudogene	OR2I1P
ENSG00000280658	AL356432.4	43.00	unprocessed_pseudogene	
ENSG00000259838	ELOCP2	40.10	unprocessed_pseudogene	ELOCP2
ENSG00000108100	CCNY	43.24	protein_coding	CCNY
ENSG00000281054	AL356432.6	40.56	unprocessed_pseudogene	
ENSG00000166326	TRIM44	39.96	protein_coding	TRIM44
ENSG00000168126	OR2W6P	48.67	unprocessed_pseudogene	OR2W6P
ENSG00000277390	APOL5	47.72	protein_coding	APOL5
ENSG00000242474	AC093627.5	48.82	lncRNA	
ENSG00000258515	AL355075.2	41.04	lncRNA	
ENSG00000124657	OR2B6	43.95	protein_coding	OR2B6
ENSG00000243824	RPL12P6	50.40	processed_pseudogene	RPL12P6
ENSG00000092094	OSGEP	45.08	protein_coding	OSGEP
ENSG00000248167	TRIM39-RPP21	44.68	protein_coding	TRIM39-RPP21
ENSG00000279990	RPSAP68	46.35	processed_pseudogene	RPSAP68
ENSG00000158352	SHROOM4	40.17	protein_coding	SHROOM4
ENSG00000270604	HCG17	41.42	lncRNA	HCG17
ENSG00000279615	CR381572.2	49.37	processed_pseudogene	
ENSG00000279167	CR381572.1	44.12	processed_pseudogene	
ENSG00000238286	SLC35E1P1	53.12	processed_pseudogene	SLC35E1P1
ENSG00000279579	LINC01666	44.18	lncRNA	LINC01666
ENSG00000259769	AC127381.1	45.32	processed_pseudogene	
ENSG00000258397	BCAR1P1	64.78	processed_pseudogene	BCAR1P1
ENSG00000204599	TRIM39	44.36	protein_coding	TRIM39
ENSG00000277561	GOLGA8IP	51.09	transcribed_unprocessed_pseudogene	GOLGA8IP
ENSG00000196433	ASMT	52.08	protein_coding	ASMT
ENSG00000262795	IFNGR2	44.05	protein_coding	IFNGR2
ENSG00000271220	AL355376.2	56.85	transcribed_processed_pseudogene	
ENSG00000256464	YWHABP2	43.20	processed_pseudogene	YWHABP2
ENSG00000236716	AL355376.1	45.59	lncRNA	
ENSG00000229605	RPL21P93	43.35	processed_pseudogene	RPL21P93
ENSG00000166800	LDHAL6A	41.58	protein_coding	LDHAL6A
ENSG00000235824	LINC00837	44.95	lncRNA	LINC00837
ENSG00000232624	LINC01517	42.69	lncRNA	LINC01517
ENSG00000120549	KIAA1217	40.56	protein_coding	KIAA1217
ENSG00000224018	AP000470.1	35.11	lncRNA	
ENSG00000248236	AC008837.1	39.81	processed_pseudogene	
ENSG00000255481	OR56A7P	50.90	unprocessed_pseudogene	OR56A7P
ENSG00000229185	OR2H2	49.94	protein_coding	OR2H2
ENSG00000262980	OR52L2P	51.46	unprocessed_pseudogene	OR52L2P
ENSG00000234895	OR52X1P	50.98	unitary_pseudogene	OR52X1P
ENSG00000228913	UBD	43.46	protein_coding	UBD
ENSG00000241690	AL035460.1	57.83	protein_coding	
ENSG00000156587	UBE2L6	48.66	protein_coding	UBE2L6
ENSG00000198326	TMEM239	52.77	protein_coding	TMEM239
ENSG00000188779	SKOR1	60.12	protein_coding	SKOR1
ENSG00000225248	TMEM183AP1	55.17	processed_pseudogene	TMEM183AP1
ENSG00000226796	OR2H5P	53.56	unprocessed_pseudogene	OR2H5P
ENSG00000230181	RPL13AP	51.35	processed_pseudogene	RPL13AP
ENSG00000258713	C20orf141	60.68	protein_coding	C20orf141
ENSG00000236185	HNRNPDLP3	42.11	processed_pseudogene	HNRNPDLP3
ENSG00000087299	L2HGDH	40.66	protein_coding	L2HGDH
ENSG00000232632	GABBR1	44.85	protein_coding	GABBR1
ENSG00000127946	HIP1	48.34	protein_coding	HIP1
ENSG00000074319	TSG101	39.61	protein_coding	TSG101
ENSG00000279213	SNX18P10	52.41	processed_pseudogene	SNX18P10
ENSG00000230778	ANKRD63	73.84	protein_coding	ANKRD63
ENSG00000286033	CR381670.2	43.90	lncRNA	
ENSG00000273855	AC020658.5	50.45	lncRNA	
ENSG00000237484	LINC01684	34.63	lncRNA	LINC01684
ENSG00000137841	PLCB2	56.84	protein_coding	PLCB2
ENSG00000277405	SERPINA6	45.27	protein_coding	SERPINA6
ENSG00000287945	AL603824.1	44.78	lncRNA	
ENSG00000248928	AC008837.2	41.15	processed_pseudogene	
ENSG00000263160	TMEM50B	43.27	protein_coding	TMEM50B
ENSG00000271335	AL117336.2	42.38	lncRNA	
ENSG00000230244	RAD23BP2	42.09	processed_pseudogene	RAD23BP2
ENSG00000273312	AL121749.1	47.62	lncRNA	
ENSG00000236475	TRIM26BP	41.95	unprocessed_pseudogene	TRIM26BP
ENSG00000280128	AL662795.2	41.69	TEC	
ENSG00000177291	GJD4	51.74	protein_coding	GJD4
ENSG00000280243	MTCO1P1	41.63	processed_pseudogene	MTCO1P1
ENSG00000241370	RPP21	53.76	protein_coding	RPP21
ENSG00000276141	WHAMMP3	39.83	transcribed_unprocessed_pseudogene	WHAMMP3
ENSG00000226307	HNRNPDLP1	40.36	processed_pseudogene	HNRNPDLP1
ENSG00000287528	AL121749.2	51.93	lncRNA	
ENSG00000224832	LINC01689	36.15	lncRNA	LINC01689
ENSG00000177283	FZD8	64.57	protein_coding	FZD8
ENSG00000250391	AC092284.1	42.59	processed_pseudogene	
ENSG00000226646	RPL7P37	42.14	processed_pseudogene	RPL7P37
ENSG00000235425	RPS7P13	40.56	processed_pseudogene	RPS7P13
ENSG00000280719	PCAT5	42.84	lncRNA	PCAT5
ENSG00000227313	LINC02630	48.28	lncRNA	LINC02630
ENSG00000227475	AL355300.1	45.07	lncRNA	
ENSG00000274821	SERPINA2	52.96	protein_coding	SERPINA2
ENSG00000235115	CHCHD2P8	59.73	processed_pseudogene	CHCHD2P8
ENSG00000261485	PAN3-AS1	43.15	lncRNA	PAN3-AS1
ENSG00000278931	CR381670.1	35.46	unprocessed_pseudogene	
ENSG00000274970	AC013470.4	35.80	processed_pseudogene	
ENSG00000188763	FZD9	68.46	protein_coding	FZD9
ENSG00000275566	KIR3DL2	47.08	protein_coding	KIR3DL2
ENSG00000270583	AL365400.2	40.69	processed_pseudogene	
ENSG00000234000	PPP1R18	56.10	protein_coding	PPP1R18
ENSG00000130595	TNNT3	61.19	protein_coding	TNNT3
ENSG00000258410	AC087386.1	42.71	lncRNA	
ENSG00000278935	AC087386.2	60.99	TEC	
ENSG00000232842	AL137845.2	44.13	processed_pseudogene	
ENSG00000243753	HLA-L	41.18	transcribed_unprocessed_pseudogene	HLA-L
ENSG00000249963	EEF1A1P20	42.57	processed_pseudogene	EEF1A1P20
ENSG00000164329	TENT2	36.28	protein_coding	TENT2
ENSG00000259932	AC051619.7	56.18	lncRNA	
ENSG00000259519	AC051619.4	50.21	lncRNA	
ENSG00000231074	HCG18	42.85	lncRNA	HCG18
ENSG00000280521	SDHAP2	47.52	transcribed_unprocessed_pseudogene	SDHAP2
ENSG00000105963	ADAP1	60.61	protein_coding	ADAP1
ENSG00000277753	MUC20	50.24	protein_coding	MUC20
ENSG00000251548	AC106760.2	50.89	processed_pseudogene	
ENSG00000231325	LY6G5C	52.95	protein_coding	LY6G5C
ENSG00000278787	UBR7	43.29	protein_coding	UBR7
ENSG00000270232	MTCYBP22	46.09	processed_pseudogene	MTCYBP22
ENSG00000203262	AL137845.1	40.81	processed_pseudogene	
ENSG00000256361	AC027544.1	37.64	processed_pseudogene	
ENSG00000256588	AC027544.2	41.14	lncRNA	
ENSG00000224608	HLA-B	43.12	protein_coding	HLA-B
ENSG00000281603	MUC20-OT1	49.88	lncRNA	MUC20-OT1
ENSG00000224305	HLA-DQB2	47.38	protein_coding	HLA-DQB2
ENSG00000124155	PIGT	45.91	protein_coding	PIGT
